frame,tl.x,tl.y,br.x,br.y
1622,1292,1639,1311,48
2446,1218,2461,1236,48
2926,1828,2951,1855,49
2892,1580,2911,1597,49
2816,1520,2851,1555,49
2347,1440,2365,1457,49
2453,1366,2503,1400,49
2243,1336,2274,1360,49
1622,1293,1640,1314,49
2926,1828,2963,1855,50
2892,1580,2912,1600,50
2822,1524,2849,1555,50
2347,1440,2367,1459,50
2457,1366,2509,1399,50
2242,1336,2274,1362,50
1622,1295,1640,1315,50
2926,1828,2966,1854,51
2892,1580,2913,1600,51
2826,1527,2849,1555,51
2347,1440,2368,1459,51
2461,1366,2509,1396,51
2239,1336,2271,1360,51
1624,1293,1640,1315,51
2946,1839,2962,1854,52
2928,1829,2946,1855,52
2893,1582,2913,1600,52
2856,1549,2871,1563,52
2829,1529,2849,1555,52
2347,1440,2368,1459,52
2465,1366,2512,1389,52
2237,1336,2268,1360,52
1624,1294,1640,1316,52
2147,1290,2167,1318,52
2933,1833,2970,1854,53
2894,1583,2913,1600,53
2856,1549,2879,1566,53
2830,1532,2850,1555,53
2347,1440,2368,1459,53
2470,1365,2518,1388,53
2235,1327,2267,1360,53
1622,1295,1639,1317,53
2147,1290,2165,1315,53
2946,1834,2970,1854,54
2895,1585,2913,1600,54
2854,1549,2883,1569,54
2835,1534,2850,1555,54
2348,1442,2368,1459,54
2472,1364,2523,1386,54
2233,1327,2265,1361,54
1622,1297,1639,1317,54
2146,1289,2165,1315,54
2446,1220,2464,1239,54
2939,1833,2971,1854,55
2896,1585,2913,1600,55
2854,1549,2883,1569,55
2836,1536,2850,1554,55
2349,1442,2368,1459,55
2480,1364,2525,1387,55
2248,1340,2263,1362,55
2231,1336,2246,1350,55
1622,1297,1639,1318,55
2147,1289,2167,1315,55
2947,1832,2971,1854,56
2855,1552,2883,1569,56
2351,1442,2368,1458,56
2482,1364,2525,1387,56
2941,1832,2971,1853,57
2868,1556,2883,1570,57
2484,1364,2525,1387,57
2944,1831,2971,1853,58
2868,1556,2883,1571,58
2490,1364,2525,1386,58
2222,1333,2238,1351,58
2152,1308,2173,1324,58
2446,1224,2460,1238,58
2950,1831,2971,1853,59
2868,1556,2883,1571,59
2495,1364,2528,1382,59
2222,1333,2236,1351,59
2240,1327,2256,1352,59
2151,1298,2172,1324,59
2063,846,2084,867,59
1444,663,1458,677,59
2950,1831,2971,1851,60
2854,1549,2883,1571,60
2495,1365,2537,1382,60
2222,1329,2255,1352,60
2151,1298,2172,1324,60
2063,846,2084,867,60
2951,1833,2967,1848,61
2854,1549,2881,1571,61
2495,1365,2537,1383,61
2237,1334,2253,1351,61
1615,1308,1632,1322,61
2148,1290,2171,1323,61
2063,846,2084,867,61
2856,1551,2883,1574,62
2497,1365,2541,1383,62
2218,1333,2234,1351,62
2150,1290,2170,1321,62
2063,846,2084,867,62
1440,659,1457,678,62
2856,1549,2883,1574,63
2497,1364,2545,1389,63
2222,1332,2249,1351,63
2140,1290,2167,1317,63
2451,1227,2471,1245,63
2063,844,2090,867,63
1440,663,1457,678,63
2856,1550,2887,1573,64
2497,1364,2545,1389,64
2216,1331,2247,1349,64
1615,1307,1630,1322,64
2138,1289,2166,1314,64
2063,851,2078,867,64
1438,658,1456,677,64
3446,2094,3461,2108,65
2504,1364,2545,1389,65
2214,1330,2247,1351,65
2138,1289,2165,1312,65
2063,839,2092,867,65
1437,656,1451,673,65
